"","Ensembl_ID","gene_id"
"1","ENSG00000223972","DDX11L1"
"2","ENSG00000227232","WASH7P"
"3","ENSG00000243485","MIR1302-2HG"
"4","ENSG00000237613","FAM138A"
"5","ENSG00000268020","OR4G4P"
"6","ENSG00000240361","OR4G11P"
"7","ENSG00000186092","OR4F5"
"8","ENSG00000238009","AL627309.1"
"9","ENSG00000239945","AL627309.3"
"10","ENSG00000233750","CICP27"
"11","ENSG00000237683","AL627309.1"
"12","ENSG00000268903","AL627309.6"
"13","ENSG00000269981","AL627309.7"
"14","ENSG00000239906","AL627309.2"
"15","ENSG00000241860","AL627309.5"
"16","ENSG00000222623","RNU6-1100P"
"17","ENSG00000241599","AL627309.4"
"18","ENSG00000228463","AP006222.2"
"19","ENSG00000286448","AP006222.2"
"20","ENSG00000250575","RP4-669L17.8"
"21","ENSG00000233653","CICP7"
"22","ENSG00000224813","RP4-669L17.4"
"23","ENSG00000235249","OR4F29"
"24","ENSG00000269732","WBP1LP7"
"25","ENSG00000256186","AL732372.1"
"26","ENSG00000236601","RP4-669L17.2"
"27","ENSG00000236743","RP5-857K21.15"
"28","ENSG00000236679","RP4-669L17.1"
"29","ENSG00000230021","AL669831.3"
"30","ENSG00000235146","AC114498.1"
"31","ENSG00000225972","MTND1P23"
"32","ENSG00000225630","MTND2P28"
"33","ENSG00000237973","MTCO1P12"
"34","ENSG00000229344","MTCO2P12"
"35","ENSG00000240409","MTATP8P1"
"36","ENSG00000248527","MTATP6P1"
"37","ENSG00000198744","MTCO3P12"
"38","ENSG00000268663","WBP1LP6"
"39","ENSG00000284662","OR4F16"
"40","ENSG00000229376","CICP3"
"41","ENSG00000228327","AL669831.1"
"42","ENSG00000235373","RP11-206L10.3"
"43","ENSG00000223181","RNU6-1199P"
"44","ENSG00000229905","AL669831.2"
"45","ENSG00000237491","LINC01409"
"46","ENSG00000285268","AL669831.6"
"47","ENSG00000230092","AL669831.4"
"48","ENSG00000177757","FAM87B"
"49","ENSG00000228794","LINC01128"
"50","ENSG00000225880","LINC00115"
"51","ENSG00000288531","AL669831.7"
"52","ENSG00000230368","FAM41C"
"53","ENSG00000234711","TUBB8P11"
"54","ENSG00000283040","AL669831.5"
"55","ENSG00000272438","AL645608.6"
"56","ENSG00000230699","AL645608.2"
"57","ENSG00000241180","AL645608.4"
"58","ENSG00000223764","LINC02593"
"59","ENSG00000187634","SAMD11"
"60","ENSG00000188976","NOC2L"
"61","ENSG00000187961","KLHL17"
"62","ENSG00000187583","PLEKHN1"
"63","ENSG00000187642","PERM1"
"64","ENSG00000272512","AL645608.7"
"65","ENSG00000188290","HES4"
"66","ENSG00000187608","ISG15"
"67","ENSG00000231702","AL645608.3"
"68","ENSG00000224969","AL645608.1"
"69","ENSG00000188157","AGRN"
"70","ENSG00000242590","AL645608.5"
"71","ENSG00000217801","AL390719.1"
"72","ENSG00000273443","AL645608.8"
"73","ENSG00000237330","RNF223"
"74","ENSG00000131591","C1orf159"
"75","ENSG00000285812","AL390719.3"
"76","ENSG00000223823","LINC01342"
"77","ENSG00000207730","MIR200B"
"78","ENSG00000207607","MIR200A"
"79","ENSG00000198976","MIR429"
"80","ENSG00000272141","AL390719.2"
"81","ENSG00000205231","TTLL10-AS1"
"82","ENSG00000162571","TTLL10"
"83","ENSG00000186891","TNFRSF18"
"84","ENSG00000186827","TNFRSF4"
"85","ENSG00000078808","SDF4"
"86","ENSG00000176022","B3GALT6"
