"","filesName","TCGA_Barcode"
"c9381f51-ec09-4487-88a4-8e94452e4893.htseq.counts.gz","c9381f51-ec09-4487-88a4-8e94452e4893.htseq.counts.gz","TCGA-44-7671-01A-11R-2066-07"
"fde67178-6278-4872-a2c4-cfa32f71fdbe.htseq.counts.gz","fde67178-6278-4872-a2c4-cfa32f71fdbe.htseq.counts.gz","TCGA-49-6744-11A-01R-1858-07"
"2525f105-0ebf-461c-a69c-03bf8ef1e42f.htseq.counts.gz","2525f105-0ebf-461c-a69c-03bf8ef1e42f.htseq.counts.gz","TCGA-05-4432-01A-01R-1206-07"
"ac3af473-48c0-4fb1-9f31-56ba6fa744c1.htseq.counts.gz","ac3af473-48c0-4fb1-9f31-56ba6fa744c1.htseq.counts.gz","TCGA-86-7701-01A-11R-2170-07"
"287715d0-5667-434b-b104-9de5b5843877.htseq.counts.gz","287715d0-5667-434b-b104-9de5b5843877.htseq.counts.gz","TCGA-97-A4M1-01A-11R-A24X-07"
"057c6a18-e5f2-4eba-9c20-c483c5a67cc3.htseq.counts.gz","057c6a18-e5f2-4eba-9c20-c483c5a67cc3.htseq.counts.gz","TCGA-44-2662-01B-02R-A277-07"
"36cd6a8c-1c63-44d3-9276-ba9fe9c155ea.htseq.counts.gz","36cd6a8c-1c63-44d3-9276-ba9fe9c155ea.htseq.counts.gz","TCGA-55-7284-01B-11R-2241-07"
"6ff63517-62d2-4083-96d5-9e033d3b1c1b.htseq.counts.gz","6ff63517-62d2-4083-96d5-9e033d3b1c1b.htseq.counts.gz","TCGA-95-7562-01A-11R-2241-07"
"1b503435-1ff4-4e3f-b07e-96adbe94549a.htseq.counts.gz","1b503435-1ff4-4e3f-b07e-96adbe94549a.htseq.counts.gz","TCGA-50-5930-01A-11R-1755-07"
"9f64d4a4-e4ad-4ee1-89a1-049b78956bcb.htseq.counts.gz","9f64d4a4-e4ad-4ee1-89a1-049b78956bcb.htseq.counts.gz","TCGA-91-6848-01A-11R-1949-07"
"2b5a102d-0462-4fee-a1f1-21dca1390db0.htseq.counts.gz","2b5a102d-0462-4fee-a1f1-21dca1390db0.htseq.counts.gz","TCGA-75-5147-01A-01R-1628-07"
"8e1d09e8-6dbd-408d-a839-f5bbebe30a57.htseq.counts.gz","8e1d09e8-6dbd-408d-a839-f5bbebe30a57.htseq.counts.gz","TCGA-55-8615-01A-11R-2403-07"
"45bf5217-97bc-4516-b9f4-8fa1356c75d5.htseq.counts.gz","45bf5217-97bc-4516-b9f4-8fa1356c75d5.htseq.counts.gz","TCGA-91-6830-01A-11R-1949-07"
"01667231-844e-4f98-905c-c0ecafee35b5.htseq.counts.gz","01667231-844e-4f98-905c-c0ecafee35b5.htseq.counts.gz","TCGA-75-5122-01A-01R-1755-07"
"a9b9f900-b114-48b4-95c7-41793107169f.htseq.counts.gz","a9b9f900-b114-48b4-95c7-41793107169f.htseq.counts.gz","TCGA-93-A4JO-01A-21R-A24X-07"
"9a07164a-711f-460d-a2cb-43651c85bcde.htseq.counts.gz","9a07164a-711f-460d-a2cb-43651c85bcde.htseq.counts.gz","TCGA-73-4659-01A-01R-1206-07"
"719e930d-dd49-4e49-97ed-7ce1f253f3cf.htseq.counts.gz","719e930d-dd49-4e49-97ed-7ce1f253f3cf.htseq.counts.gz","TCGA-97-7937-01A-11R-2170-07"
"7d77efb6-ce73-4e81-8cf3-957835f58334.htseq.counts.gz","7d77efb6-ce73-4e81-8cf3-957835f58334.htseq.counts.gz","TCGA-55-A493-01A-11R-A24H-07"
"4c8648f5-26ca-4550-b51b-bd2228b1e8e0.htseq.counts.gz","4c8648f5-26ca-4550-b51b-bd2228b1e8e0.htseq.counts.gz","TCGA-86-7955-01A-11R-2187-07"
"4545348f-bbfe-4f68-826f-3fb2b019a328.htseq.counts.gz","4545348f-bbfe-4f68-826f-3fb2b019a328.htseq.counts.gz","TCGA-NJ-A4YG-01A-22R-A262-07"
"10e453a6-8c30-456c-9a8a-f1195b6122f4.htseq.counts.gz","10e453a6-8c30-456c-9a8a-f1195b6122f4.htseq.counts.gz","TCGA-99-7458-01A-11R-2039-07"
"5061303f-9743-4495-a9ea-a5c579992525.htseq.counts.gz","5061303f-9743-4495-a9ea-a5c579992525.htseq.counts.gz","TCGA-05-4398-01A-01R-1206-07"
"2c2df194-4ed9-4b96-9b19-3b7988bd6d81.htseq.counts.gz","2c2df194-4ed9-4b96-9b19-3b7988bd6d81.htseq.counts.gz","TCGA-NJ-A4YP-01A-11R-A262-07"
"92f18d53-5c6f-42cb-9cce-b3100d72deb2.htseq.counts.gz","92f18d53-5c6f-42cb-9cce-b3100d72deb2.htseq.counts.gz","TCGA-55-7995-01A-11R-2187-07"
"b375ca9f-6408-496f-83c9-469c74ccc7a2.htseq.counts.gz","b375ca9f-6408-496f-83c9-469c74ccc7a2.htseq.counts.gz","TCGA-97-7553-01A-21R-2039-07"
"037b5a94-487e-4f5b-90a3-d696eb4a8a3e.htseq.counts.gz","037b5a94-487e-4f5b-90a3-d696eb4a8a3e.htseq.counts.gz","TCGA-55-7911-01A-11R-2170-07"
"ac5bc405-b210-4bf3-a4e6-6ff071aa59c7.htseq.counts.gz","ac5bc405-b210-4bf3-a4e6-6ff071aa59c7.htseq.counts.gz","TCGA-44-6778-11A-01R-1858-07"
"d0d7fae1-355e-4ada-a469-b69d59c1edfe.htseq.counts.gz","d0d7fae1-355e-4ada-a469-b69d59c1edfe.htseq.counts.gz","TCGA-05-4390-01A-02R-1755-07"
"2c9d9875-4237-410c-afc2-15d06a034d20.htseq.counts.gz","2c9d9875-4237-410c-afc2-15d06a034d20.htseq.counts.gz","TCGA-50-5055-01A-01R-1628-07"
